"","PAD1","FCET","AGSBillions","YIR","PPIF","PPD1"
"1 Jan 2000",51,1517.7,23.222,3.37685727149935,126.7,52.51
"2 Jan 2000",61.8,1517.7,23.222,3.37685727149935,126.7,56.97
"3 Jan 2000",67.8,1517.7,23.222,3.37685727149935,126.7,59.79
"4 Jan 2000",69.26,1517.7,23.222,3.37685727149935,126.7,59.27
"1 Feb 2000",65.01,1517.7,23.222,3.37685727149935,127.2,57.35
"2 Feb 2000",63.93,1517.7,23.222,3.37685727149935,127.2,56.9
"3 Feb 2000",63.15,1517.7,23.222,3.37685727149935,127.2,56.46
"4 Feb 2000",56.65,1517.7,23.222,3.37685727149935,127.2,51.71
"5 Feb 2000",54.54,1517.7,23.222,3.37685727149935,127.2,50.52
"1 Mar 2000",54.08,1517.7,23.222,3.37685727149935,127.4,50.66
"2 Mar 2000",48.41,1517.7,23.222,3.37685727149935,127.4,49.04
"3 Mar 2000",47.98,1517.7,23.222,3.37685727149935,127.4,48.68
"4 Mar 2000",45.31,1517.7,23.222,3.37685727149935,127.4,47.06
"1 Apr 2000",48.51,1517.7,23.222,3.37685727149935,128.1,49.08
"2 Apr 2000",45.13,1517.7,23.222,3.37685727149935,128.1,43.68
"3 Apr 2000",46.94,1517.7,23.222,3.37685727149935,128.1,42.05
"4 Apr 2000",43.85,1517.7,23.222,3.37685727149935,128.1,41.34
"1 May 2000",44.57,1517.7,23.222,3.37685727149935,129.3,42.15
"2 May 2000",44.25,1517.7,23.222,3.37685727149935,129.3,41.8
"3 May 2000",47.43,1517.7,23.222,3.37685727149935,129.3,43.17
"4 May 2000",42.16,1517.7,23.222,3.37685727149935,129.3,33.61
"5 May 2000",37.94,1517.7,23.222,3.37685727149935,129.3,31.73
"1 Jun 2000",37.34,1517.7,23.222,3.37685727149935,129.4,27.42
"2 Jun 2000",44.04,1517.7,23.222,3.37685727149935,129.4,29.09
"3 Jun 2000",42.56,1517.7,23.222,3.37685727149935,129.4,27.8
"4 Jun 2000",44.84,1517.7,23.222,3.37685727149935,129.4,29.92
"1 Jul 2000",42.5,1517.7,23.222,3.37685727149935,129.4,25.76
"2 Jul 2000",43.57,1517.7,23.222,3.37685727149935,129.4,27.26
"3 Jul 2000",49.46,1517.7,23.222,3.37685727149935,129.4,35.16
"4 Jul 2000",49.87,1517.7,23.222,3.37685727149935,129.4,34.45
"1 Aug 2000",49.67,1517.7,23.222,3.37685727149935,128.7,33.66
"2 Aug 2000",51.13,1517.7,23.222,3.37685727149935,128.7,33.05
"3 Aug 2000",51.63,1517.7,23.222,3.37685727149935,128.7,34.27
"4 Aug 2000",50.1,1517.7,23.222,3.37685727149935,128.7,32.73
"5 Aug 2000",56.28,1517.7,23.222,3.37685727149935,128.7,34.41
"1 Sep 2000",57.23,1517.7,23.222,3.37685727149935,128.5,35.24
"2 Sep 2000",56.27,1517.7,23.222,3.37685727149935,128.5,34.78
"3 Sep 2000",58.38,1517.7,23.222,3.37685727149935,128.5,35.17
"4 Sep 2000",57.81,1517.7,23.222,3.37685727149935,128.5,33.56
"1 Oct 2000",60.47,1517.7,23.222,3.37685727149935,128.7,34.92
"2 Oct 2000",59.49,1517.7,23.222,3.37685727149935,128.7,34.47
"3 Oct 2000",59.8,1517.7,23.222,3.37685727149935,128.7,37.58
"4 Oct 2000",64.23,1517.7,23.222,3.37685727149935,128.7,39.59
"5 Oct 2000",59.75,1517.7,23.222,3.37685727149935,128.7,42.11
"1 Nov 2000",45.32,1517.7,23.222,3.37685727149935,128.8,44.36
"2 Nov 2000",36.89,1517.7,23.222,3.37685727149935,128.8,30.28
"3 Nov 2000",35.77,1517.7,23.222,3.37685727149935,128.8,28.13
"4 Nov 2000",35.57,1517.7,23.222,3.37685727149935,128.8,26.76
"1 Dec 2000",33.86,1517.7,23.222,3.37685727149935,129.6,26.46
"2 Dec 2000",33.15,1517.7,23.222,3.37685727149935,129.6,25.32
"3 Dec 2000",29.35,1517.7,23.222,3.37685727149935,129.6,22.08
"4 Dec 2000",27.75,1517.7,23.222,3.37685727149935,129.6,21.6
"1 Jan 2001",29.18,1383.9,22.431,2.82617111885402,130.3,28.36
"2 Jan 2001",31.65,1383.9,22.431,2.82617111885402,130.3,29.78
"3 Jan 2001",30.02,1383.9,22.431,2.82617111885402,130.3,24.07
"4 Jan 2001",43.43,1383.9,22.431,2.82617111885402,130.3,32.58
"5 Jan 2001",38.85,1383.9,22.431,2.82617111885402,130.3,29.83
"1 Feb 2001",38.57,1383.9,22.431,2.82617111885402,130.8,29.57
"2 Feb 2001",37.21,1383.9,22.431,2.82617111885402,130.8,29.11
"3 Feb 2001",34.45,1383.9,22.431,2.82617111885402,130.8,26.34
"4 Feb 2001",34.78,1383.9,22.431,2.82617111885402,130.8,25.88
"1 Mar 2001",33.26,1383.9,22.431,2.82617111885402,131.8,24.05
"2 Mar 2001",33.97,1383.9,22.431,2.82617111885402,131.8,24.17
"3 Mar 2001",34.05,1383.9,22.431,2.82617111885402,131.8,24.13
"4 Mar 2001",37.58,1383.9,22.431,2.82617111885402,131.8,30.88
"1 Apr 2001",38.16,1383.9,22.431,2.82617111885402,132.5,31.65
"2 Apr 2001",35.52,1383.9,22.431,2.82617111885402,132.5,28.22
"3 Apr 2001",35.05,1383.9,22.431,2.82617111885402,132.5,27.19
"4 Apr 2001",35.21,1383.9,22.431,2.82617111885402,132.5,28.14
"1 May 2001",36.93,1383.9,22.431,2.82617111885402,133.4,29.85
"2 May 2001",47.49,1383.9,22.431,2.82617111885402,133.4,56.89
"3 May 2001",48.55,1383.9,22.431,2.82617111885402,133.4,60.22
"4 May 2001",46.24,1383.9,22.431,2.82617111885402,133.4,54.67
"5 May 2001",44.87,1383.9,22.431,2.82617111885402,133.4,50.76
