dlgdp,dlSP,dlxlk,dlbitcoinprice,dlhashrate,dltradevolume,dlmarketcap,dlnetworkdifficulty,dltotalbitcoin,trend,season2,season3,season4
0.013335546,0.057752384,0.032033989,0.977047896,1.609518854,0.909169583,1.124524146,1.560728689,0.143694893,1,1,0,0
0.00577764,0.005433982,0.004220225,3.082258362,2.946678653,-7.469221669,3.223653832,2.995468818,0.145190161,2,0,1,0
0.012358768,-0.168949834,-0.101454592,-1.21438354,-0.114922949,11.23977756,-1.084894041,0.202836578,0.095200426,3,0,0,1
0.014199502,0.105731662,0.075469031,0.063793331,-0.227292185,2.056174934,0.112091757,-0.375975383,0.0825875,4,0,0,0
0.008570272,0.113298866,0.1698008,-0.079418649,0.158410688,-0.491261952,-0.025840191,0.338104123,0.081524388,5,1,0,0
0.006911894,-0.033432334,-0.04857467,0.275302613,0.14273804,-12.80469054,0.385936399,0.059671441,0.073759225,6,0,1,0
0.006160449,0.058684643,0.068273272,0.655061847,0.49153472,13.30570733,0.687216864,0.506133519,0.072632006,7,0,0,1
0.012627554,-0.012749765,-0.064105152,0.039578986,0.176734166,-1.175504585,0.124734113,0.039533045,0.053606769,8,0,0,0
0.004230667,0.091069327,0.041418004,2.093613038,0.924613004,3.764823783,1.972824717,0.809683037,0.032795366,9,1,0,0
0.012586486,0.033234308,0.022361997,-0.194070617,1.050339785,-0.820202913,0.076025092,1.158879953,0.034024168,10,0,1,0
0.013044763,0.048372552,0.049796239,0.15410282,2.039413592,-0.126493819,0.108592989,1.942367802,0.036978022,11,0,0,1
0.000651566,0.086616019,0.100584276,1.946880565,2.216345407,0.62530276,1.981716441,2.071319635,0.034835876,12,0,0,0
0.018402701,0.019904885,0.028683709,-0.470025487,1.333581028,0.494312331,-0.465895359,1.444512588,0.031810873,13,1,0,0
0.015936516,0.045513759,0.051918439,0.357352325,0.958756212,-0.754207819,0.414595899,1.211668084,0.02956283,14,0,1,0
0.006141929,-0.013859203,0.013842826,-0.51649918,0.765410059,0.223296995,-0.526132538,0.72315025,0.027784685,15,0,0,1
